nohup: ignoring input
Time: 5.24 s    Percent: 0.4 %
Time: 576.48 s    Percent: 51.99999999999988 %
Time: 580.93 s    Percent: 52.39999999999988 %
Time: 585.27 s    Percent: 52.799999999999876 %
Time: 589.66 s    Percent: 53.199999999999875 %
Time: 594.07 s    Percent: 53.59999999999987 %
Time: 599.20 s    Percent: 53.99999999999987 %
Time: 603.60 s    Percent: 54.39999999999987 %
Time: 608.22 s    Percent: 54.79999999999987 %
Time: 612.51 s    Percent: 55.19999999999987 %
Time: 616.97 s    Percent: 55.599999999999866 %
Time: 621.22 s    Percent: 55.999999999999865 %
Time: 625.60 s    Percent: 56.399999999999864 %
Time: 630.02 s    Percent: 56.79999999999986 %
Time: 634.47 s    Percent: 57.19999999999986 %
Time: 638.71 s    Percent: 57.59999999999986 %
Time: 643.12 s    Percent: 57.99999999999986 %
Time: 647.53 s    Percent: 58.39999999999986 %
Time: 651.78 s    Percent: 58.799999999999855 %
Time: 656.14 s    Percent: 59.199999999999854 %
Time: 660.68 s    Percent: 59.59999999999985 %
Time: 665.05 s    Percent: 59.99999999999985 %
Time: 669.47 s    Percent: 60.39999999999985 %
Time: 673.99 s    Percent: 60.79999999999985 %
Time: 678.44 s    Percent: 61.19999999999985 %
Time: 682.80 s    Percent: 61.599999999999845 %
Time: 687.23 s    Percent: 61.999999999999844 %
Time: 691.60 s    Percent: 62.39999999999984 %
Time: 696.00 s    Percent: 62.79999999999984 %
Time: 700.22 s    Percent: 63.19999999999984 %
Time: 704.54 s    Percent: 63.59999999999984 %
Time: 708.97 s    Percent: 63.99999999999984 %
Time: 713.42 s    Percent: 64.39999999999984 %
Time: 717.81 s    Percent: 64.79999999999984 %
Time: 722.27 s    Percent: 65.19999999999985 %
Time: 726.67 s    Percent: 65.59999999999985 %
Time: 731.01 s    Percent: 65.99999999999986 %
Time: 735.52 s    Percent: 66.39999999999986 %
Time: 740.02 s    Percent: 66.79999999999987 %
Time: 745.50 s    Percent: 67.19999999999987 %
Time: 749.91 s    Percent: 67.59999999999988 %
